Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,1.27053,150.929,63.0699,63.8163,37.0099,189.21,3,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,1,0.666667,0.471405,1,2,3,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,2,1.33333,0.471405,1,4,3,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,48.7308,17.0889,22.3982,2.5359,51.2667,3,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,120.524,53.3924,50.1539,39.6527,160.177,3,°,Dendrite,,,0,,,1,,1,
Dendrite Length,0.357118,50.8064,22.2992,21.1125,15.7342,66.8977,3,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.733434,1.0811,0.914841,0.142336,0.929992,2.74452,3,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,0,49,19.3333,21.2968,9,58,3,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,-120.765,118.264,35.7176,110.706,109.654,107.153,3,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,33.2554,49.0187,39.6815,6.75654,36.7703,119.044,3,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,91.5677,111.694,102.913,8.41427,105.477,308.739,3,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,4.91192,7.87091,6.6331,1.25543,7.11647,19.8993,3,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,0.391935,84.9743,41.9318,34.547,40.4292,125.795,3,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,0,9.64445,5.1215,3.96001,5.72004,15.3645,3,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.92223,0.999743,0.950916,0.0347014,0.930775,2.85275,3,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,3,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,3,3,,Dendrite,,,0,,,1,,1,
Dendrite Volume,0.32993,35.8064,14.3774,15.395,6.99576,43.1321,3,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),433.343,433.343,433.343,0.0470505,433.343,433.343,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,30.5242,30.5242,30.5242,0.00125866,30.5242,30.5242,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,42.5556,42.5556,42.5556,0,42.5556,42.5556,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,6.50375,6.50375,6.50375,0.000855174,6.50375,6.50375,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
